x	rho	u	p	e
0.00125	1.33327	111.795	149996	281255
0.00375	1.33327	111.795	149996	281255
0.00625	1.33327	111.795	149996	281255
0.00875	1.33327	111.795	149996	281255
0.01125	1.33327	111.795	149996	281255
0.01375	1.33327	111.795	149996	281255
0.01625	1.33327	111.795	149996	281255
0.01875	1.33327	111.795	149996	281255
0.02125	1.33327	111.795	149996	281255
0.02375	1.33327	111.795	149996	281255
0.02625	1.33327	111.795	149996	281255
0.02875	1.33327	111.795	149996	281255
0.03125	1.33327	111.795	149996	281255
0.03375	1.33327	111.795	149996	281255
0.03625	1.33327	111.795	149996	281255
0.03875	1.33327	111.795	149996	281255
0.04125	1.33327	111.795	149996	281255
0.04375	1.33327	111.795	149996	281255
0.04625	1.33327	111.795	149996	281255
0.04875	1.33327	111.795	149996	281255
0.05125	1.33327	111.795	149996	281255
0.05375	1.33327	111.795	149996	281255
0.05625	1.33327	111.795	149996	281255
0.05875	1.33327	111.795	149996	281255
0.06125	1.33327	111.795	149996	281255
0.06375	1.33327	111.795	149996	281255
0.06625	1.33327	111.795	149996	281255
0.06875	1.33327	111.795	149996	281255
0.07125	1.33327	111.795	149996	281255
0.07375	1.33327	111.795	149996	281255
0.07625	1.33327	111.795	149996	281255
0.07875	1.33327	111.795	149996	281255
0.08125	1.33327	111.795	149996	281255
0.08375	1.33327	111.795	149996	281255
0.08625	1.33327	111.795	149996	281255
0.08875	1.33327	111.795	149996	281255
0.09125	1.33327	111.795	149996	281255
0.09375	1.33327	111.795	149996	281255
0.09625	1.33327	111.795	149996	281255
0.09875	1.33327	111.795	149996	281255
0.10125	1.33327	111.795	149996	281255
0.10375	1.33327	111.795	149996	281255
0.10625	1.33327	111.795	149996	281255
0.10875	1.33327	111.795	149996	281255
0.11125	1.33327	111.795	149996	281255
0.11375	1.33327	111.795	149996	281255
0.11625	1.33327	111.795	149996	281255
0.11875	1.33327	111.795	149996	281255
0.12125	1.33327	111.795	149996	281255
0.12375	1.33327	111.795	149996	281255
0.12625	1.33327	111.795	149996	281255
0.12875	1.33327	111.795	149996	281255
0.13125	1.33327	111.795	149996	281255
0.13375	1.33327	111.795	149996	281255
0.13625	1.33327	111.795	149996	281256
0.13875	1.33327	111.795	149996	281256
0.14125	1.33327	111.795	149996	281256
0.14375	1.33327	111.795	149996	281256
0.14625	1.33327	111.795	149996	281256
0.14875	1.33326	111.795	149996	281257
0.15125	1.33325	111.795	149996	281259
0.15375	1.33323	111.795	149996	281263
0.15625	1.33318	111.795	149996	281275
0.15875	1.33305	111.795	149996	281301
0.16125	1.33287	111.795	149996	281340
0.16375	1.33264	111.795	149996	281388
0.16625	1.33242	111.795	149996	281435
0.16875	1.33221	111.795	149996	281478
0.17125	1.33204	111.795	149996	281515
0.17375	1.33189	111.795	149996	281546
0.17625	1.33178	111.795	149996	281570
0.17875	1.33169	111.795	149996	281589
0.18125	1.33163	111.795	149996	281601
0.18375	1.33159	111.795	149996	281609
0.18625	1.33157	111.795	149996	281614
0.18875	1.33156	111.795	149996	281616
0.19125	1.33156	111.795	149996	281616
0.19375	1.33157	111.795	149996	281615
0.19625	1.33159	111.795	149996	281610
0.19875	1.33166	111.795	149996	281594
0.20125	1.33181	111.795	149996	281564
0.20375	1.33198	111.795	149996	281527
0.20625	1.33215	111.795	149996	281491
0.20875	1.33231	111.795	149996	281458
0.21125	1.33245	111.795	149996	281429
0.21375	1.33257	111.795	149996	281404
0.21625	1.33267	111.795	149996	281381
0.21875	1.33276	111.795	149996	281362
0.22125	1.33284	111.795	149996	281345
0.22375	1.33291	111.795	149996	281331
0.22625	1.33297	111.795	149996	281319
0.22875	1.33302	111.795	149996	281309
0.23125	1.33306	111.795	149996	281300
0.23375	1.33309	111.795	149996	281292
0.23625	1.33313	111.795	149996	281286
0.23875	1.33315	111.795	149996	281280
0.24125	1.33317	111.795	149996	281276
0.24375	1.33319	111.795	149996	281272
0.24625	1.33321	111.795	149996	281268
0.24875	1.33322	111.795	149996	281265
0.25125	1.33323	111.795	149996	281263
0.25375	1.33324	111.795	149996	281261
0.25625	1.33325	111.795	149996	281259
0.25875	1.33326	111.795	149996	281258
0.26125	1.33326	111.795	149996	281256
0.26375	1.33327	111.795	149996	281255
0.26625	1.33327	111.795	149996	281254
0.26875	1.33328	111.795	149996	281253
0.27125	1.33328	111.795	149996	281252
0.27375	1.33329	111.795	149996	281252
0.27625	1.33329	111.795	149996	281251
0.27875	1.33329	111.795	149996	281251
0.28125	1.33329	111.795	149996	281250
0.28375	1.33329	111.795	149996	281250
0.28625	1.3333	111.795	149996	281250
0.28875	1.3333	111.795	149996	281249
0.29125	1.3333	111.795	149996	281249
0.29375	1.3333	111.795	149996	281249
